¼øÀ§,¼±¼ö¸í,ÆÀ¸í,WAR,°æ±â,Å¸¼®,Å¸¼ö,µæÁ¡,¾ÈÅ¸,2·çÅ¸,3·çÅ¸,È¨·±,·çÅ¸,Å¸Á¡,µµ·ç,µµ·ç½ÇÆÐ,º¼³Ý,»ç±¸,°íÀÇ»ç±¸,»ïÁø,º´»ìÅ¸,Èñ»ýÅ¸,Èñ»ýÇÃ¶óÀÌ,Å¸À²,Ãâ·çÀ²,ÀåÅ¸À²,OPS,wOBA,wRC+,WAR2,WPA,¿¬µµ
16,±èÈ£,91½ÖSS,3.58,126,517,442,72,103,18,3,11,160,63,22,9,71,1,1,90,8,1,2,0.233,0.339,0.362,0.701,0.331,101.5,3.58,,1991
17,±è¿ë±¹,91»ï3B,3.41,126,468,403,55,119,21,1,7,163,58,4,10,54,2,2,49,8,8,1,0.295,0.38,0.404,0.785,0.363,122.3,3.41,,1991
18,±è»ó±¹,91ºùC,3.23,115,352,309,40,83,19,3,8,132,43,5,1,35,1,1,39,7,4,3,0.269,0.342,0.427,0.769,0.35,114.3,3.23,,1991
19,È²´ë¿¬,91ºùSS,3.18,106,380,310,52,77,14,2,16,143,57,4,5,50,2,0,70,7,16,2,0.248,0.354,0.461,0.816,0.358,119.9,3.18,,1991
20,·ùÁßÀÏ,91»ïSS,3.18,90,393,344,59,98,14,4,5,135,45,19,7,34,4,0,54,10,7,4,0.285,0.352,0.392,0.745,0.343,109.1,3.18,,1991
21,±èÇü¼®,91ORF,3.16,126,531,473,62,136,19,9,11,206,71,3,4,50,2,12,49,12,2,4,0.288,0.355,0.436,0.791,0.356,118.7,3.16,,1991
22,ÀÌÁßÈ­,91ºùCF,3.0,118,351,304,46,94,11,7,1,122,32,20,8,34,1,0,26,2,7,5,0.309,0.375,0.401,0.776,0.356,118.5,3.0,,1991
23,¿ø¿ø±Ù,91ÅÂ2B,2.93,115,431,367,40,105,27,1,3,143,38,9,7,52,1,6,36,6,9,2,0.286,0.374,0.39,0.764,0.349,113.6,2.93,,1991
24,Àü´ë¿µ,91ºù2B,2.92,105,264,230,27,72,8,0,11,113,46,3,0,29,0,0,47,9,3,2,0.313,0.387,0.491,0.878,0.398,147.2,2.92,,1991
25,½Å°æ½Ä,91»ï1B,2.83,126,527,460,71,142,15,3,7,184,57,20,15,49,7,2,34,13,6,5,0.309,0.38,0.4,0.78,0.362,122.0,2.83,,1991
26,ÀåÃ¤±Ù,91ÇØC,2.8,114,401,345,46,81,11,0,17,143,48,0,2,44,2,0,59,16,6,4,0.235,0.322,0.414,0.736,0.335,103.8,2.8,,1991
27,¹ÚÃ¶¿ì,91ÇØDH,2.8,125,483,422,41,119,24,2,14,189,80,0,1,50,10,3,55,6,0,1,0.282,0.371,0.448,0.819,0.378,133.2,2.8,,1991
28,À±´ö±Ô,91LRF,2.72,105,437,383,56,118,18,7,1,153,45,3,12,48,1,1,36,7,1,4,0.308,0.383,0.399,0.783,0.367,126.4,2.72,,1991
29,Á¶¿ëÈ£,91½ÖRF,2.68,112,406,343,53,109,13,3,3,137,32,11,17,40,13,0,49,3,6,4,0.318,0.405,0.399,0.804,0.376,131.2,2.68,,1991
30,È«Çö¿ì,91ÇØ2B,2.63,91,261,226,36,66,17,2,8,111,29,3,1,25,3,1,29,4,5,2,0.292,0.367,0.491,0.858,0.383,136.5,2.63,,1991
1,ÀåÁ¾ÈÆ,92ºù1B,7.74,125,556,431,106,129,28,2,41,284,119,13,5,106,13,15,99,5,0,6,0.299,0.446,0.659,1.105,0.469,188.2,7.74,,1992
2,ÀÌÁ¤ÈÆ,92ºùCF,7.18,111,437,369,89,133,17,2,25,229,68,21,3,46,10,1,27,6,3,9,0.36,0.436,0.621,1.056,0.46,182.0,7.18,,1992
3,È«Çö¿ì,92ÇØ2B,6.85,126,520,420,87,140,25,3,17,222,97,6,7,82,7,0,82,8,8,3,0.333,0.447,0.529,0.976,0.436,166.1,6.85,,1992
4,±è±âÅÂ,92½Ö1B,6.63,123,525,398,86,120,28,3,31,247,96,5,7,114,8,18,84,11,0,5,0.302,0.461,0.621,1.082,0.463,183.7,6.63,,1992
5,¹ÚÁ¤ÅÂ,92·Ô2B,6.6,124,529,445,91,149,43,3,14,240,79,7,7,69,5,2,42,12,3,7,0.335,0.424,0.539,0.963,0.429,160.2,6.6,,1992
6,ÀÌ¼øÃ¶,92ÇØCF,6.22,122,566,492,101,152,22,3,21,243,76,44,16,60,7,1,63,14,3,4,0.309,0.389,0.494,0.883,0.397,140.3,6.22,,1992
7,µ¿ºÀÃ¶,92»ïCF,5.63,126,511,410,95,130,18,7,11,195,52,24,17,72,13,2,63,5,14,2,0.317,0.433,0.476,0.908,0.406,145.5,5.63,,1992
8,±è¹ÎÈ£,92·Ô1B,4.84,118,495,413,69,133,28,4,16,217,88,5,2,68,6,4,76,10,0,8,0.322,0.418,0.525,0.944,0.421,155.3,4.84,,1992
9,ÀÌ¸¸¼ö,92»ïC,4.83,93,368,305,50,88,11,0,22,165,70,7,3,48,12,8,41,8,0,3,0.289,0.402,0.541,0.943,0.414,150.8,4.83,,1992
10,ÀåÃ¤±Ù,92ÇØC,4.78,112,396,326,59,86,14,0,23,169,62,1,0,60,6,1,66,11,0,4,0.264,0.384,0.518,0.902,0.401,143.2,4.78,,1992
11,±èÀÀ±¹,92·ÔLF,4.59,119,486,401,76,128,20,12,10,202,79,29,8,58,5,3,50,6,7,15,0.319,0.399,0.504,0.903,0.395,138.2,4.59,,1992
12,ÀüÁØÈ£,92·ÔCF,4.58,120,537,466,90,140,17,9,5,190,49,33,6,51,7,0,49,4,11,2,0.3,0.376,0.408,0.784,0.358,113.8,4.58,,1992
13,±èµ¿±â,92ÅÂC,4.51,107,391,333,53,98,15,2,15,162,58,2,1,46,7,1,59,13,5,0,0.294,0.391,0.486,0.878,0.394,138.0,4.51,,1992
14,¼Û±¸È«,92L3B,4.31,121,493,451,72,137,23,2,20,224,59,20,4,24,7,4,33,13,9,2,0.304,0.347,0.497,0.844,0.369,122.3,4.31,,1992
15,ÀÓÇü¼®,92O3B,4.26,112,460,410,68,119,18,4,26,223,73,3,8,38,3,2,61,9,5,4,0.29,0.352,0.544,0.896,0.389,136.3,4.26,,1992
16,ÀÌÈ£¼º,92ÇØRF,4.11,110,451,374,78,104,16,3,14,168,52,25,1,70,3,1,75,13,0,4,0.278,0.393,0.449,0.842,0.386,132.7,4.11,,1992
17,±èµ¿¼ö,92LC,4.0,121,433,381,47,98,15,4,20,181,69,3,2,45,5,4,45,10,1,1,0.257,0.343,0.475,0.818,0.363,118.4,4.0,,1992
18,ÀÌ°­µ·,92ºùLF,3.89,121,454,403,73,129,27,8,13,211,60,7,9,41,1,1,63,6,3,6,0.32,0.379,0.524,0.903,0.399,141.7,3.89,,1992
19,°­±â¿õ,92»ï2B,3.86,126,455,405,68,123,19,3,16,196,56,13,4,29,7,1,35,8,4,9,0.304,0.353,0.484,0.837,0.37,121.8,3.86,,1992
20,ÇÑ´ëÈ­,92ÇØ3B,3.79,110,436,362,69,97,16,1,20,175,74,8,8,66,1,4,53,10,3,4,0.268,0.379,0.483,0.862,0.383,130.9,3.79,,1992
21,¿©ÅÂ±¸,92ÅÂCF,3.24,114,417,345,63,100,18,3,9,151,44,13,5,49,3,1,46,2,18,2,0.29,0.381,0.438,0.819,0.36,115.6,3.24,,1992
22,ÀÌ½ÂÈñ,92½Ö3B,2.97,99,312,270,42,78,14,5,8,126,27,11,2,36,2,1,49,8,3,0,0.289,0.377,0.467,0.843,0.379,127.5,2.97,,1992
23,Á¤°æÈÆ,92»ïSS,2.96,109,312,258,50,75,10,1,2,93,25,37,6,43,2,0,31,5,7,2,0.291,0.393,0.36,0.754,0.353,110.3,2.96,,1992
24,±è»óÈ£,92ODH,2.96,102,416,370,61,111,26,4,12,181,49,16,7,42,4,2,52,4,0,0,0.3,0.377,0.489,0.867,0.391,137.9,2.96,,1992
25,±èÇü¼®,92O1B,2.62,126,518,459,61,129,27,5,16,214,71,3,5,53,2,7,55,15,1,2,0.281,0.357,0.466,0.823,0.366,120.5,2.62,,1992
26,ÀÌÁ¾¿î,92·ÔRF,2.49,108,444,401,66,126,15,14,3,178,57,21,8,23,3,0,47,7,15,2,0.314,0.354,0.444,0.798,0.352,109.7,2.49,,1992
27,¾ç¿ë¸ð,92ºùC,2.4,93,236,194,36,52,6,3,4,76,30,8,2,38,2,0,45,7,1,1,0.268,0.392,0.392,0.783,0.368,120.5,2.4,,1992
28,±è»ó±¹,92ºùC,2.25,113,331,295,32,79,10,2,9,120,36,5,3,29,2,2,38,11,3,2,0.268,0.335,0.407,0.742,0.336,99.1,2.25,,1992
29,ÀÌº´ÈÆ,92LRF,2.23,91,286,263,34,79,10,0,16,137,45,1,1,20,2,0,38,10,0,1,0.3,0.353,0.521,0.874,0.39,136.9,2.23,,1992
30,°­¿µ¼ö,92ORF,2.19,118,435,351,53,76,13,2,18,147,61,7,3,70,7,2,86,5,2,5,0.217,0.353,0.419,0.772,0.351,109.8,2.19,,1992
1,¾çÁØÇõ,93»ï1B,6.85,106,456,381,82,130,27,1,23,228,90,4,9,61,8,6,40,7,0,6,0.341,0.436,0.598,1.035,0.468,212.0,6.85,,1993
2,±è¼º·¡,93»ï1B,6.3,124,521,436,64,131,18,2,28,237,91,2,1,69,5,0,72,17,2,9,0.3,0.395,0.544,0.939,0.428,183.0,6.3,,1993
3,ÀÌÁ¾¹ü,93ÇØSS,6.14,126,525,475,85,133,16,4,16,205,53,73,19,32,6,2,35,11,8,4,0.28,0.331,0.432,0.762,0.35,127.4,6.14,,1993
4,±èµ¿¼ö,93LC,5.48,115,427,372,47,102,16,3,16,172,56,7,0,41,6,3,40,11,3,5,0.274,0.351,0.462,0.814,0.373,146.5,5.48,,1993
5,°­±â¿õ,93»ï2B,5.26,102,420,379,60,123,15,2,16,190,75,20,9,26,2,2,24,8,7,6,0.325,0.366,0.501,0.867,0.393,158.3,5.26,,1993
6,ÀåÁ¾ÈÆ,93ºù1B,4.97,97,412,339,58,100,21,0,17,172,58,12,2,58,9,7,68,4,0,6,0.295,0.405,0.507,0.913,0.417,175.4,4.97,,1993
7,µ¿ºÀÃ¶,93»ïCF,4.87,68,295,249,53,86,10,5,5,121,28,20,9,32,12,0,29,3,1,1,0.345,0.442,0.486,0.928,0.434,187.5,4.87,,1993
8,È«Çö¿ì,93ÇØ3B,4.6,123,527,446,56,117,21,1,13,179,61,10,4,64,4,1,70,12,6,7,0.262,0.355,0.401,0.756,0.352,129.1,4.6,,1993
9,¼Û±¸È«,93L3B,4.52,105,433,387,51,119,21,2,4,156,49,19,6,32,8,0,30,12,2,4,0.307,0.369,0.403,0.772,0.363,139.0,4.52,,1993
10,¹ÚÁØÅÂ,93LCF,4.49,124,478,401,68,107,29,5,8,170,39,28,13,53,4,5,69,7,17,3,0.267,0.356,0.424,0.78,0.349,128.2,4.49,,1993
11,±èÇü¼®,93ORF,4.48,126,529,480,47,147,23,4,10,208,62,2,4,46,0,6,61,12,1,2,0.306,0.366,0.433,0.799,0.371,145.1,4.48,,1993
12,·ùÁßÀÏ,93»ïSS,4.46,107,444,377,58,106,13,1,8,145,45,6,4,57,3,0,44,9,5,2,0.281,0.378,0.385,0.763,0.36,134.8,4.46,,1993
13,ÀüÁØÈ£,93·ÔCF,4.07,120,465,393,63,111,3,7,1,131,31,75,25,47,5,0,31,2,16,4,0.282,0.363,0.333,0.696,0.324,108.6,4.07,,1993
14,Áø»óºÀ,93ºùCF,3.93,100,347,290,41,81,10,2,10,125,39,2,3,42,13,0,45,10,1,1,0.279,0.393,0.431,0.824,0.389,155.8,3.93,,1993
15,ÀÌ¼øÃ¶,93ÇØCF,3.8,102,430,367,47,93,12,3,11,144,44,29,8,46,5,0,54,9,8,4,0.253,0.341,0.392,0.734,0.341,120.6,3.8,,1993
16,ÇÑ´ëÈ­,93ÇØ3B,3.77,107,394,335,46,89,13,1,13,143,46,4,5,50,3,0,46,10,4,2,0.266,0.364,0.427,0.791,0.369,141.1,3.77,,1993
17,±è±¤¸²,93OCF,3.67,117,492,430,49,129,18,3,3,162,32,13,8,40,2,5,34,3,15,5,0.3,0.359,0.377,0.735,0.334,117.1,3.67,,1993
18,Á¤¼º·æ,93ÇØ,3.13,107,304,248,35,61,15,0,10,106,43,2,0,49,4,0,53,4,0,3,0.246,0.375,0.427,0.802,0.378,147.5,3.13,,1993
19,±è»óÈÆ,93LDH,2.97,126,505,460,59,131,28,0,12,195,71,3,1,37,6,5,52,12,0,2,0.285,0.345,0.424,0.769,0.358,135.1,2.97,,1993
20,±è»óÈ£,93OLF,2.93,122,495,440,53,116,17,1,11,168,56,19,8,38,9,2,63,11,5,2,0.264,0.333,0.382,0.715,0.334,117.0,2.93,,1993
21,¹ÚÁ¾È£,93LSS,2.88,91,368,316,42,83,15,4,6,124,33,8,4,28,5,0,53,0,18,1,0.263,0.331,0.392,0.724,0.325,110.2,2.88,,1993
22,ÀÌÁ¾µÎ,93»ïRF,2.81,106,413,354,50,88,18,2,14,152,51,4,4,43,6,1,59,9,8,2,0.249,0.338,0.429,0.768,0.352,129.1,2.81,,1993
23,±è¼ºÇö,93»ïC,2.79,100,321,296,27,80,8,1,11,123,45,0,2,18,2,0,43,9,4,1,0.27,0.316,0.416,0.731,0.339,119.6,2.79,,1993
24,±èµ¿±â,93ÅÂC,2.78,93,364,315,33,77,22,1,3,110,34,1,3,40,6,1,67,16,2,1,0.244,0.34,0.349,0.689,0.328,111.9,2.78,,1993
25,±è±âÅÂ,93½Ö1B,2.78,96,395,317,36,76,17,2,9,124,43,11,5,73,1,8,57,7,0,4,0.24,0.38,0.391,0.771,0.36,135.1,2.78,,1993
26,Á¤È¸¿­,93ÇØC,2.77,117,372,345,33,95,14,1,7,132,35,0,4,16,5,0,41,11,5,1,0.275,0.316,0.383,0.699,0.326,110.1,2.77,,1993
27,±èÀÀ±¹,93·ÔLF,2.76,108,420,369,49,105,26,3,3,146,48,12,8,37,3,0,44,7,4,7,0.285,0.349,0.396,0.744,0.346,124.5,2.76,,1993
28,ÀÌ¸í¼ö,93ODH,2.75,119,494,417,52,118,20,8,4,166,56,6,3,54,3,0,43,9,17,3,0.283,0.367,0.398,0.765,0.349,128.5,2.75,,1993
29,ÀÌÈ£¼º,93ÇØRF,2.68,75,256,210,35,65,14,1,3,90,22,10,10,42,2,1,27,8,1,1,0.31,0.428,0.429,0.856,0.403,165.7,2.68,,1993
30,±èÁ¾Çå,93·ÔLF,2.52,118,415,357,46,101,18,3,0,125,25,24,9,36,8,0,65,7,10,3,0.283,0.359,0.35,0.709,0.331,113.6,2.52,,1993
1,ÀÌÁ¾¹ü,94ÇØSS,11.77,124,561,499,113,196,27,5,19,290,77,84,15,51,6,14,31,2,1,4,0.393,0.452,0.581,1.033,0.462,198.3,11.77,,1994
2,À¯ÁöÇö,94LSS,7.35,126,574,482,109,147,20,0,15,212,51,51,10,64,8,0,60,4,14,6,0.305,0.391,0.44,0.831,0.376,141.5,7.35,,1994
3,±è±âÅÂ,94½Ö1B,6.07,108,454,376,70,119,20,4,25,222,79,9,10,74,2,13,70,10,0,2,0.316,0.43,0.59,1.02,0.449,191.2,6.07,,1994
4,±èÀçÇö,94LRF,5.97,125,535,463,81,134,26,3,21,229,80,21,4,55,12,2,86,7,0,5,0.289,0.376,0.495,0.87,0.395,155.1,5.97,,1994
5,°øÇÊ¼º,94·Ô3B,4.55,126,488,420,55,114,23,5,12,183,57,25,10,45,13,2,71,8,4,6,0.271,0.355,0.436,0.791,0.36,128.0,4.55,,1994
6,È«Çö¿ì,94ÇØ3B,4.42,126,524,463,70,126,20,2,16,198,72,14,7,50,4,1,63,6,5,2,0.272,0.347,0.428,0.775,0.354,124.2,4.42,,1994
7,À±´ö±Ô,94ÅÂLF,4.32,100,407,368,49,118,27,3,11,184,51,8,1,34,2,4,57,9,1,2,0.321,0.379,0.5,0.879,0.397,153.8,4.32,,1994
8,±è°æ±â,94ÅÂ1B,4.25,124,498,433,68,120,19,3,23,214,70,3,2,56,7,6,68,9,0,2,0.277,0.368,0.494,0.862,0.389,147.8,4.25,,1994
9,±èÀÀ±¹,94·ÔLF,4.24,100,407,350,63,113,24,4,8,169,55,20,11,45,3,4,45,7,2,7,0.323,0.398,0.483,0.88,0.397,153.3,4.24,,1994
10,±è¹ÎÈ£,94·Ô1B,4.23,117,493,439,58,130,34,2,15,213,78,21,3,44,3,7,84,10,2,5,0.296,0.361,0.485,0.846,0.378,140.7,4.23,,1994
11,¾çÁØÇõ,94»ïDH,4.22,123,496,427,62,128,21,1,19,208,87,15,4,63,0,7,42,7,1,5,0.3,0.386,0.487,0.873,0.393,151.0,4.22,,1994
12,ÇÑ´ëÈ­,94L3B,4.22,106,414,357,49,106,15,1,10,153,67,3,1,48,5,2,48,11,0,4,0.297,0.384,0.429,0.813,0.376,141.5,4.22,,1994
13,±èµ¿¼ö,94LC,4.16,95,369,316,45,91,20,3,6,135,42,4,4,43,5,3,39,6,4,1,0.288,0.381,0.427,0.808,0.37,136.6,4.16,,1994
14,ÀÌ¼øÃ¶,94ÇØCF,4.0,85,360,314,42,101,19,2,8,148,54,18,7,33,1,0,41,7,10,2,0.322,0.386,0.471,0.857,0.383,144.3,4.0,,1994
15,±èµ¿±â,94ÅÂC,3.92,119,421,368,49,97,16,0,15,158,50,3,6,38,12,4,74,15,3,0,0.264,0.352,0.429,0.781,0.357,126.1,3.92,,1994
16,¼­¿ëºó,94L1B,3.85,126,543,493,72,157,30,4,4,207,72,6,2,39,5,3,62,9,0,5,0.318,0.371,0.42,0.791,0.365,133.2,3.85,,1994
17,¹ÚÁ¾È£,94L2B,3.46,105,400,335,59,87,14,6,6,131,56,21,10,45,13,2,44,8,4,3,0.26,0.366,0.391,0.757,0.35,122.8,3.46,,1994
18,ÃÖÈÆÀç,94LRF,3.14,90,271,238,34,77,14,5,6,119,29,1,1,27,4,0,24,6,1,1,0.324,0.4,0.5,0.9,0.41,166.1,3.14,,1994
19,¹ÚÁö»ó,94ÇÑCF,3.08,104,353,299,43,92,15,2,1,114,25,11,10,45,2,1,33,6,5,2,0.308,0.399,0.381,0.781,0.364,131.4,3.08,,1994
20,ÀÌ¹ÎÈ£,94ÇÑ3B,3.07,63,227,197,34,59,9,2,14,114,36,4,3,16,8,0,43,4,6,0,0.299,0.376,0.579,0.954,0.417,168.4,3.07,,1994
21,±è¹ÎÈ£,94OSS,3.07,126,491,426,57,117,13,0,8,154,34,17,7,33,10,1,64,6,21,1,0.275,0.34,0.362,0.702,0.317,98.6,3.07,,1994
22,³ëÂù¿±,94LLF,2.97,107,393,340,53,95,13,6,10,150,59,7,5,41,4,2,24,12,1,7,0.279,0.357,0.441,0.798,0.363,131.8,2.97,,1994
23,±è¼º·¡,94»ï1B,2.96,105,349,276,39,68,10,1,14,122,43,3,1,56,14,1,54,5,0,3,0.246,0.395,0.442,0.837,0.388,147.5,2.96,,1994
24,ÀÌÁ¾µÎ,94»ïRF,2.76,126,472,417,59,113,15,1,17,181,52,12,7,37,5,0,70,14,11,2,0.271,0.336,0.434,0.77,0.347,119.1,2.76,,1994
25,±è»ó±¹,94ÇÑC,2.76,115,400,336,35,86,13,0,7,120,48,4,2,44,5,3,43,14,11,4,0.256,0.347,0.357,0.704,0.321,101.6,2.76,,1994
26,¹Ú³ëÁØ,94½ÖLF,2.73,108,391,340,44,103,15,1,3,129,36,43,15,32,7,2,25,2,11,1,0.303,0.374,0.379,0.753,0.344,117.9,2.73,,1994
27,ÀÌÈ£¼º,94ÇØLF,2.71,105,440,374,63,99,10,2,9,140,49,21,7,52,5,1,63,6,4,5,0.265,0.358,0.374,0.732,0.341,115.0,2.71,,1994
28,±è»óÈ£,94OCF,2.68,113,471,410,55,102,11,5,9,150,49,6,7,47,7,3,73,3,4,3,0.249,0.334,0.366,0.7,0.324,103.6,2.68,,1994
29,¹Ú°æ¿Ï,94½ÖC,2.62,102,274,240,31,57,8,2,14,111,31,0,2,25,5,0,75,3,4,0,0.238,0.322,0.463,0.785,0.353,123.8,2.62,,1994
30,µ¿ºÀÃ¶,94»ïCF,2.53,100,375,319,44,81,12,2,5,112,33,15,10,43,10,0,45,9,2,1,0.254,0.359,0.351,0.71,0.338,112.9,2.53,,1994
1,¾çÁØÇõ,95»ïLF,6.68,125,527,438,81,137,34,1,20,233,84,8,2,77,6,8,50,7,0,6,0.313,0.418,0.532,0.949,0.422,174.5,6.68,,1995
2,È«Çö¿ì,95ÇØ3B,6.53,125,531,465,63,142,24,1,16,216,65,34,5,58,4,7,65,1,1,3,0.305,0.385,0.465,0.849,0.383,148.2,6.53,,1995
3,ÀåÁ¾ÈÆ,95ÇÑ1B,6.14,126,498,420,77,137,25,4,22,236,78,8,9,68,6,16,63,10,0,4,0.326,0.424,0.562,0.986,0.431,183.1,6.14,,1995
4,ÀüÁØÈ£,95·ÔCF,5.78,124,540,458,93,141,13,12,1,181,42,69,25,62,6,3,54,5,8,6,0.308,0.393,0.395,0.788,0.359,131.4,5.78,,1995
5,±è±¤¸²,95½ÖCF,5.06,119,489,419,60,141,17,1,7,181,49,16,10,48,5,3,37,8,11,6,0.337,0.406,0.432,0.838,0.376,143.9,5.06,,1995
6,ÀÌÁ¾¹ü,95ÇØSS,5.03,63,272,239,51,78,10,2,16,140,35,32,3,28,2,4,20,5,0,3,0.326,0.397,0.586,0.983,0.432,181.9,5.03,,1995
7,±è±âÅÂ,95½Ö1B,5.02,116,482,402,48,129,34,3,12,205,72,12,10,72,1,15,44,8,0,7,0.321,0.419,0.51,0.929,0.409,166.9,5.02,,1995
8,±èÀÀ±¹,95·ÔLF,4.35,104,435,364,58,109,14,4,8,155,61,31,5,57,5,5,45,7,1,8,0.299,0.394,0.426,0.82,0.372,140.5,4.35,,1995
9,¹Ú°æ¿Ï,95½ÖC,4.29,121,429,361,48,82,13,2,19,156,46,5,2,56,8,4,100,5,4,0,0.227,0.344,0.432,0.776,0.349,125.1,4.29,,1995
10,±è»óÈ£,95OLF,4.27,126,565,504,79,137,23,2,25,239,101,10,7,45,6,5,113,6,4,6,0.272,0.335,0.474,0.809,0.359,133.4,4.27,,1995
11,¸¶ÇØ¿µ,95·Ô1B,4.21,126,551,476,76,131,26,4,18,219,87,16,6,54,13,5,82,13,0,8,0.275,0.359,0.46,0.819,0.368,137.8,4.21,,1995
12,±è¹ÎÈ£,95OSS,4.14,113,455,400,79,115,24,3,2,151,30,47,17,37,5,0,58,3,10,3,0.288,0.353,0.378,0.73,0.332,114.0,4.14,,1995
13,°øÇÊ¼º,95·Ô3B,4.13,126,476,390,60,103,14,6,4,141,50,22,5,52,22,3,68,5,8,4,0.264,0.378,0.362,0.74,0.341,119.5,4.13,,1995
14,ÀÌµ¿¼ö,95»ïDH,3.88,125,478,420,70,121,17,3,22,210,81,2,0,34,20,5,96,11,3,1,0.288,0.368,0.5,0.868,0.388,151.2,3.88,,1995
15,½ÉÁ¤¼ö,95ORF,3.76,116,405,362,63,102,19,0,21,184,59,4,2,29,8,2,78,6,1,5,0.282,0.344,0.508,0.852,0.379,148.1,3.76,,1995
16,À¯ÁöÇö,95LSS,3.61,64,290,236,44,72,8,0,1,83,17,33,7,44,5,0,21,5,4,1,0.305,0.423,0.352,0.775,0.366,138.7,3.61,,1995
17,±èµ¿¼ö,95LC,3.47,108,393,334,40,87,15,2,10,136,35,4,0,40,4,3,45,8,11,4,0.26,0.343,0.407,0.75,0.332,114.0,3.47,,1995
18,ÀÌµµÇü,95OC,3.39,95,307,283,38,82,12,0,14,136,48,1,1,17,3,1,53,9,1,3,0.29,0.333,0.481,0.814,0.364,137.6,3.39,,1995
19,°­¿µ¼ö,95ÅÂLF,3.24,121,484,415,71,101,17,1,21,183,68,3,1,60,2,2,105,12,1,6,0.243,0.338,0.441,0.778,0.351,126.5,3.24,,1995
20,Á¤¿µ±Ô,95ÇÑRF,3.24,116,446,397,59,114,22,5,11,179,45,4,11,42,2,2,81,4,3,2,0.287,0.357,0.451,0.808,0.364,135.7,3.24,,1995
21,ÃÖÅÂ¿ø,95½Ö2B,3.22,125,548,496,68,147,20,1,1,172,30,29,14,29,8,0,37,3,10,5,0.296,0.342,0.347,0.689,0.316,102.4,3.22,,1995
22,±èÀçÇö,95LRF,3.21,116,448,381,55,97,19,3,15,167,56,13,9,45,13,2,83,6,3,6,0.255,0.348,0.438,0.787,0.354,130.1,3.21,,1995
23,±è¼±Áø,95L1B,3.2,94,292,250,44,74,7,5,9,118,39,12,1,34,7,2,35,5,1,0,0.296,0.395,0.472,0.867,0.393,158.3,3.2,,1995
24,ÀÌ¸í¼ö,95O2B,3.16,111,431,383,46,111,11,1,9,151,32,1,4,37,4,1,55,9,5,2,0.29,0.357,0.394,0.751,0.344,122.4,3.16,,1995
25,±ÇÁØÇå,95ÅÂ3B,3.15,110,419,395,40,121,16,3,6,161,34,14,6,17,1,1,63,9,4,2,0.306,0.335,0.408,0.743,0.337,116.6,3.15,,1995
26,±è°æ±â,95ÅÂ1B,3.14,96,398,356,52,105,19,1,12,162,46,4,1,38,4,5,51,5,0,0,0.295,0.369,0.455,0.824,0.373,142.3,3.14,,1995
27,±èÁ¾¼®,95O1B,3.01,116,433,395,63,118,26,8,4,172,56,5,1,33,2,5,41,12,2,1,0.299,0.355,0.435,0.79,0.356,131.2,3.01,,1995
28,¼­¿ëºó,95L1B,2.93,126,491,441,48,135,28,2,4,179,53,6,2,34,8,4,55,12,6,2,0.306,0.365,0.406,0.771,0.35,126.8,2.93,,1995
29,ÀÓ¼öÇõ,95·ÔC,2.91,104,300,271,34,67,9,2,15,125,68,2,0,24,2,1,59,6,0,3,0.247,0.31,0.461,0.771,0.345,122.0,2.91,,1995
30,ÀÌ½Â¿±,95»ï1B,2.77,121,411,365,55,104,29,1,13,174,73,0,3,33,4,1,54,4,2,7,0.285,0.345,0.477,0.822,0.366,136.6,2.77,,1995
1,ÀÌÁ¾¹ü,96ÇØSS,9.52,113,525,449,94,149,28,1,25,254,76,57,12,67,7,15,39,4,0,2,0.332,0.425,0.566,0.991,0.44,184.6,9.52,,1996
2,È«Çö¿ì,96ÇØ3B,8.75,126,549,443,83,147,30,4,17,236,67,18,9,97,4,10,64,8,1,4,0.332,0.453,0.533,0.985,0.442,186.1,8.75,,1996
3,¾çÁØÇõ,96»ïRF,8.56,126,530,436,89,151,33,2,28,272,87,23,18,82,6,8,76,4,0,5,0.346,0.452,0.624,1.076,0.474,207.0,8.56,,1996
4,¹ÚÀçÈ«,96ÇöCF,7.5,126,547,481,75,142,29,4,30,269,108,36,17,53,7,7,107,7,0,6,0.295,0.369,0.559,0.929,0.411,166.2,7.5,,1996
5,±èÀÀ±¹,96·ÔLF,5.69,126,518,446,62,143,22,6,9,204,64,26,7,65,2,6,61,11,1,4,0.321,0.406,0.457,0.864,0.394,152.8,5.69,,1996
6,ÀÓ¼öÇõ,96·ÔC,5.04,113,431,373,43,116,18,2,11,171,76,4,5,46,3,6,46,11,2,7,0.311,0.385,0.458,0.843,0.38,143.2,5.04,,1996
7,±è±¤¸²,96½ÖCF,4.38,126,509,449,69,136,19,6,2,173,49,15,4,45,3,1,63,8,7,3,0.303,0.368,0.385,0.753,0.346,120.1,4.38,,1996
8,½ÉÀçÇÐ,96LRF,4.3,118,471,389,59,111,15,1,18,182,72,1,4,64,11,13,58,7,0,7,0.285,0.395,0.468,0.863,0.387,150.2,4.3,,1996
9,¼ÛÁö¸¸,96ÇÑRF,4.16,122,460,394,58,113,30,4,18,205,53,10,16,43,9,2,81,5,12,2,0.287,0.368,0.52,0.889,0.39,151.5,4.16,,1996
